feature,count
topics,2
torture,2
total,52
totally,49
touch,7
tough,3
town,3
track,7
tracking,4
traffic,20
train,29
transaction,15
transfer,3
transparency,5
transparent,3
transport,13
transportation,4
trap,2
trash,8
trauma,2
travel,57
traveled,7
traveling,14
travell,2
travelled,12
travelling,13
travels,2
treat,10
treatment,2
trichy,3
trick,3
tricks,2
tricky,2
tried,98
tries,6
trip,201
triple,2
trips,11
trouble,16
troubles,2
troubling,2
true,5
trust,34
trustable,2
trusted,5
trusting,2
trustworthy,3
try,83
trying,62
tum,2
turn,13
turned,5
turns,4
twice,57
twise,2
twitter,3
tym,5
type,25
types,2
typing,2
tyre,4
ubar,3
uber,256
uberrapido,2
ubers,2
ui,5
ultimately,2
unable,103
unacceptable,4
unavailable,2
unaware,2
unbearable,2
unbelievable,4
unblock,5
uncomfortable,2
understand,32
understanding,5
uneducated,6
unethical,9
unethically,2
unexpected,2
unfair,11
unfortunately,8
unhappy,4
unhygienic,3
uninstall,42
uninstalled,23
uninstalling,45
unistall,2
unistalling,2
unjustified,2
unknown,5
unless,4
unnecessarily,5
unnecessary,13
unpaid,3
unpleasant,3
unprofessional,29
unreasonable,2
unreasonably,2
unreliable,15
unresponsive,2
unsafe,14
unsatisfied,4
untrained,2
untrustworthy,4
unwanted,4
unwilling,2
update,67
updated,21
updates,3
updating,8
updation,4
upfront,4
upgrade,3
upi,38
uploaded,4
upset,4
upsetting,2
upto,5
ur,48
urge,2
urgency,11
urgent,30
urgently,8
url,3
usage,3
use,422
used,93
useful,17
useless,91
user,34
users,16
uses,3
using,151
uske,7
usne,2
usual,5
usually,5
uthate,3
utterly,5
ux,2
vaishali,2
valid,7
valuable,4
value,13
various,3
vary,4
ve,2
vechile,2
vehicle,41
vehicles,18
verification,8
verified,3
verify,4
verry,6
version,4
vi,2
video,3
videos,3
view,3
visible,4
visit,6
vo,3
voucher,4
vouchers,3
wagnor,2
waha,2
wahiyat,2
wait,91
waited,25
waiting,99
waive,2
waived,2
waiver,3
wala,2
walas,2
wale,11
walk,6
walked,3
wallet,55
walo,3
wanna,6
want,161
wanted,12
wantedly,2
wants,10
warna,3
warning,4
wasnt,10
wast,4
waste,105
wasted,16
wastes,5
wasting,14
watch,2
watching,3
way,170
ways,6
wear,3
weather,4
website,3
week,15
weeks,10
went,28
west,13
whats,25
whatsoever,2
wife,7
wil,2
willing,9
windows,2
wise,6
wish,14
wo,10
woman,3
women,10
womens,2
wonder,5
wonderful,2
wont,64
word,10
words,13
worest,10
work,79
worked,3
working,70
works,17
world,13
worlds,4
worng,4
worse,36
worst,1047
worstest,3
worsttt,2
wort,3
worth,13
worthless,7
wouldnt,6
wow,6
write,9
writing,8
written,10
wrong,87
wrongly,10
wrost,34
wrote,7
wt,2
xx,3
ya,7
yadav,3
yaha,3
yahi,2
yatri,3
ye,25
year,16
years,29
yes,4
yesterday,19
yha,2
yo,2
youll,2
youre,10
youve,5
zada,4
zero,34
zyada,2
